ISO,INE,NOMBRE
A,03,Alacant
AB,02,Albacete
AL,04,Almería
AV,05,Ávila
B,08,Barcelona
BA,06,Badajoz
BI,48,Bizkaia
BU,09,Burgos
C,15,A Coruña
CA,11,Cádiz
CC,10,Cáceres
CE,51,Ceuta
CO,14,Córdoba
CR,13,Ciudad Real
CS,12,Castellón
CU,16,Cuenca
GC,35,Las Palmas
GI,17,Girona
GR,18,Granada
GU,19,Guadalajara
H,21,Huelva
HU,22,Huesca
J,23,Jaén
L,25,Lleida
LE,24,León
LO,26,La Rioja
LU,27,Lugo
M,28,Madrid
MA,29,Málaga
ML,52,Melilla
MU,30,Murcia
NA,31,Navarra
O,33,Asturias
OR,32,Ourense
P,34,Palencia
PM,07,Illes Balears
PO,36,Pontevedra
S,39,Cantabria
SA,37,Salamanca
SE,41,Sevilla
SG,40,Segovia
SO,42,Soria
SS,20,Gipuzkoa
T,43,Tarragona
TE,44,Teruel
TF,38,Santa Cruz de Tenerife
TO,45,Toledo
V,46,Valencia
VA,47,Valladolid
VI,01,Araba
Z,50,Zaragoza
ZA,49,Zamora
